年份,地区,国家,对外直接投资:截至累计
2016,亚洲,约旦,39.49
2016,亚洲,越南,4983.63
2017,北美洲,百慕大群岛,8588.11
2017,北美洲,加拿大,10936.8577
2017,北美洲,美国,67381.0044
2017,大洋洲,澳大利亚,36175.3072
2017,大洋洲,巴布亚新几内亚,2101.21
2017,大洋洲,斐济,156.7
2017,大洋洲,基里巴斯,2.93
2017,大洋洲,库克群岛,0.07
2017,大洋洲,马绍尔群岛共和国,60.68
2017,大洋洲,密克罗尼西亚联邦,19.54
2017,大洋洲,帕劳共和国,12.18
2017,大洋洲,萨摩亚,627.55
2017,大洋洲,汤加,9.56
2017,大洋洲,瓦努阿图,105.76
2017,大洋洲,新西兰,2491.7978
2017,非洲,阿尔及利亚,1833.662
2017,非洲,埃及,834.84
2017,非洲,埃塞俄比亚,1975.56
2017,非洲,安哥拉,2260.16
2017,非洲,贝宁,104.37
2017,非洲,博茨瓦纳,296.87
2017,非洲,布基纳法索,0.2
2017,非洲,布隆迪,10.29
2017,非洲,赤道几内亚,395.97
2017,非洲,多哥,112.85
2017,非洲,厄立特里亚,216.55
2017,非洲,佛得角,14.63
2017,非洲,冈比亚,5.36
2017,非洲,刚果,1126.06
2017,非洲,吉布提,232.86
2017,非洲,几内亚,675.45
2017,非洲,几内亚比绍,76.39
2017,非洲,加纳,1575.36
2017,非洲,加蓬,385.35
2017,非洲,津巴布韦,1748.34
2017,非洲,喀麦隆,424.36
2017,非洲,科摩罗,4.53
2017,非洲,科特迪瓦共和国,303.68
2017,非洲,肯尼亚,1543.45
2017,非洲,莱索托,6.53
2017,非洲,利比里亚,319.63
2017,非洲,利比亚,366.75
2017,非洲,卢旺达,99.25
2017,非洲,马达加斯加,766.2997
2017,非洲,马拉维,291.12
2017,非洲,马里,394.86
2017,非洲,毛里求斯,960.87
2017,非洲,毛里塔尼亚,235.85
2017,非洲,民主刚果,3884.11
2017,非洲,摩洛哥,318.21
2017,非洲,莫桑比克,872.91
2017,非洲,纳米比亚,480.47
2017,非洲,南非,7472.7687
2017,非洲,南苏丹,47.68
2017,非洲,尼日尔,665.65
2017,非洲,尼日利亚,2861.5288
2017,非洲,塞拉利昂,184.22
2017,非洲,塞内加尔,214.3
2017,非洲,塞舌尔,231.27
2017,非洲,圣多美和普林西比,0.38
2017,非洲,苏丹,1201.5647
2017,非洲,坦桑尼亚,1280.3
2017,非洲,突尼斯,15.08
2017,非洲,乌干达,575.94
2017,非洲,赞比亚,2963.44
2017,非洲,乍得,412.25
2017,非洲,中非,16.12
2017,拉丁美洲,阿根廷,1539.54
2017,拉丁美洲,安提瓜和巴布达,6.7
2017,拉丁美洲,巴巴多斯,117.3
2017,拉丁美洲,巴哈马,160.63
2017,拉丁美洲,巴拉圭,46.06
2017,拉丁美洲,巴拿马,358.78
2017,拉丁美洲,巴西,3205.5371
2017,拉丁美洲,玻利维亚,413.49
2017,拉丁美洲,多米尼加共和国,0.01
2017,拉丁美洲,多米尼克,3.15
2017,拉丁美洲,厄瓜多尔,1032.44
2017,拉丁美洲,哥伦比亚,357.87
2017,拉丁美洲,哥斯达黎加,26.02
2017,拉丁美洲,格林纳达,25.07
2017,拉丁美洲,古巴,115
2017,拉丁美洲,圭亚那,110.69
2017,拉丁美洲,洪都拉斯,1.16
2017,拉丁美洲,开曼群岛,249682.1863
2017,拉丁美洲,秘鲁,839.43
2017,拉丁美洲,墨西哥,898.0158
2017,拉丁美洲,尼加拉瓜,3.14
2017,拉丁美洲,萨尔瓦多,0.01
2017,拉丁美洲,圣卢西亚,4.73
2017,拉丁美洲,圣文森特和格林纳丁斯,42.88
2017,拉丁美洲,苏里南,164.39
2017,拉丁美洲,特立尼达和多巴哥,621.77
2017,拉丁美洲,委内瑞拉,3207.25
2017,拉丁美洲,乌拉圭,198.68
2017,拉丁美洲,牙买加,1114.12
2017,拉丁美洲,英属安圭拉,7.19
2017,拉丁美洲,英属维尔京群岛,122060.745
2017,拉丁美洲,智利,527.57
2017,欧洲,阿尔巴尼亚,4.78
2017,欧洲,阿塞拜疆,27.99
2017,欧洲,爱尔兰,882.63
2017,欧洲,爱沙尼亚,3.62
2017,欧洲,奥地利,851.49
2017,欧洲,白俄罗斯,548.41
2017,欧洲,保加利亚,250.46
2017,欧洲,比利时,479.23
2017,欧洲,冰岛,14
2017,欧洲,波兰,405.52
2017,欧洲,波斯尼亚—黑塞哥维那,4.34
2017,欧洲,丹麦,228.83
2017,欧洲,德国,12163.1961
2017,欧洲,俄罗斯,13871.5955
2017,欧洲,法国,5702.7062
2017,欧洲,芬兰,213.07
2017,欧洲,格鲁吉亚,568.17
2017,欧洲,荷兰,18529
2017,欧洲,黑山,39.45
2017,欧洲,捷克,164.9
2017,欧洲,克罗地亚,39.08
2017,欧洲,拉脱维亚,1.02
2017,欧洲,立陶宛,17.13
2017,欧洲,列支敦士登,16.16
2017,欧洲,卢森堡,13936.15
2017,欧洲,罗马尼亚,310.07
2017,欧洲,马耳他,164.98
2017,欧洲,马其顿,2.03
2017,欧洲,摩尔多瓦,3.87
2017,欧洲,挪威,2083.45
2017,欧洲,葡萄牙,110.23
2017,欧洲,瑞典,7307.42
2017,欧洲,瑞士,8111.73
2017,欧洲,塞尔维亚,170.02
2017,欧洲,斯洛伐克,83.45
2017,欧洲,斯洛文尼亚,27.25
2017,欧洲,乌克兰,62.65
2017,欧洲,西班牙,692.63
2017,欧洲,希腊,182.22
2017,欧洲,匈牙利,327.86
2017,欧洲,亚美尼亚,29.96
2017,欧洲,意大利,1903.79
2017,欧洲,英国,20318.173
2017,亚洲,阿富汗,403.64
2017,亚洲,阿拉伯联合酋长国,5372.83
2017,亚洲,阿曼,99.04
2017,亚洲,澳门特别行政区 (中国),9680.2918
2017,亚洲,巴基斯坦,5715.84
2017,亚洲,巴勒斯坦,0.04
2017,亚洲,巴林,74.37
2017,亚洲,朝鲜,606.53
2017,亚洲,东帝汶,174.17
2017,亚洲,菲律宾,819.6
2017,亚洲,哈萨克斯坦,7561.45
2017,亚洲,韩国,5983.4741
2017,亚洲,吉尔吉斯,1299.38
2017,亚洲,柬埔寨,5448.73
2017,亚洲,卡塔尔,1105.49
2017,亚洲,科威特,936.23
2017,亚洲,老挝,6654.95
2017,亚洲,黎巴嫩,2.01
2017,亚洲,马尔代夫,67.43
2017,亚洲,马来西亚,4914.7
2017,亚洲,蒙古,3622.8
2017,亚洲,孟加拉国,329.07
2017,亚洲,缅甸,5524.53
2017,亚洲,尼泊尔,227.62
2017,亚洲,日本,3197.3366
2017,亚洲,塞浦路斯,718.69
2017,亚洲,沙特阿拉伯,2038.27
2017,亚洲,斯里兰卡,728.35
2017,亚洲,塔吉克,1616.09
2017,亚洲,台湾省,1272.47
2017,亚洲,泰国,5358.4674
2017,亚洲,土耳其,1301.35
2017,亚洲,土库曼,342.72
2017,亚洲,文莱,220.67
2017,亚洲,乌兹别克,946.07
2017,亚洲,香港特别行政区 (中国),981265.6786
2017,亚洲,新加坡,44568.0916
2017,亚洲,叙利亚,10.31
2017,亚洲,也门共和国,612.55
2017,亚洲,伊拉克,414.37
2017,亚洲,伊朗,3623.5
2017,亚洲,以色列,4148.69
2017,亚洲,印度,4747.3283
2017,亚洲,印度尼西亚,10538.8032
2017,亚洲,约旦,64.4
2017,亚洲,越南,4965.3573
2018,北美洲,百慕大群岛,8318.32
2018,北美洲,加拿大,12522.72239036
2018,北美洲,美国,75507.28977214
2018,大洋洲,澳大利亚,38378.67782517
2018,大洋洲,巴布亚新几内亚,2039.09
2018,大洋洲,斐济,174.02
2018,大洋洲,基里巴斯,2.93
2018,大洋洲,库克群岛,0.07
2018,大洋洲,马绍尔群岛共和国,76.05
2018,大洋洲,密克罗尼西亚联邦,15.49
2018,大洋洲,帕劳共和国,12.11
2018,大洋洲,萨摩亚,683.74
2018,大洋洲,汤加,8.92
2018,大洋洲,瓦努阿图,128.47
2018,大洋洲,新西兰,2591.20315504
2018,非洲,阿尔及利亚,2062.8556
2018,非洲,埃及,1079.26
2018,非洲,埃塞俄比亚,2568.16
2018,非洲,安哥拉,2299.19
2018,非洲,贝宁,103.99
2018,非洲,博茨瓦纳,258.16
2018,非洲,布基纳法索,0.2
2018,非洲,布隆迪,12.52
2018,非洲,赤道几内亚,552.85
2018,非洲,多哥,102.07
2018,非洲,厄立特里亚,223.94
2018,非洲,佛得角,14.63
2018,非洲,冈比亚,24.79
2018,非洲,刚果,795.1
2018,非洲,吉布提,178.49
2018,非洲,几内亚,742.4428
2018,非洲,几内亚比绍,65.21
2018,非洲,加纳,1797.47
2018,非洲,加蓬,258.66
2018,非洲,津巴布韦,1766.25
2018,非洲,喀麦隆,499.21
2018,非洲,科摩罗,5.45
2018,非洲,科特迪瓦共和国,441.54
2018,非洲,肯尼亚,1755.88
2018,非洲,莱索托,6.53
2018,非洲,利比里亚,260.39
2018,非洲,利比亚,425.68
2018,非洲,卢旺达,146.82
2018,非洲,马达加斯加,803.3537
2018,非洲,马拉维,292.1
2018,非洲,马里,301.47
2018,非洲,毛里求斯,997.66
2018,非洲,毛里塔尼亚,232.61
2018,非洲,民主刚果,4444.46
2018,非洲,摩洛哥,382.29
2018,非洲,莫桑比克,1410.17
2018,非洲,纳米比亚,426.15
2018,非洲,南非,6531.6774846
2018,非洲,南苏丹,35.69
2018,非洲,尼日尔,758.4
2018,非洲,尼日利亚,2453.4853
2018,非洲,塞拉利昂,168.06
2018,非洲,塞内加尔,314.65
2018,非洲,塞舌尔,451.91
2018,非洲,圣多美和普林西比,0.38
2018,非洲,苏丹,1325.0708
2018,非洲,坦桑尼亚,1302.75
2018,非洲,突尼斯,21.53
2018,非洲,乌干达,798.17
2018,非洲,赞比亚,3523.02
2018,非洲,乍得,592.59
2018,非洲,中非,88.13
2018,拉丁美洲,阿根廷,1582.97
2018,拉丁美洲,安提瓜和巴布达,5.8
2018,拉丁美洲,巴巴多斯,200.73
2018,拉丁美洲,巴哈马,164.69
2018,拉丁美洲,巴拉圭,0.84
2018,拉丁美洲,巴拿马,506.11
2018,拉丁美洲,巴西,3812.44722549
2018,拉丁美洲,玻利维亚,351.5
2018,拉丁美洲,多米尼加共和国,0.01
2018,拉丁美洲,多米尼克,3.15
2018,拉丁美洲,厄瓜多尔,1240.52
2018,拉丁美洲,哥伦比亚,284.1
2018,拉丁美洲,哥斯达黎加,42.67
2018,拉丁美洲,格林纳达,23.89
2018,拉丁美洲,古巴,149.11
2018,拉丁美洲,圭亚那,198.86
2018,拉丁美洲,洪都拉斯,50.22
2018,拉丁美洲,开曼群岛,259223.71422974
2018,拉丁美洲,秘鲁,941.5
2018,拉丁美洲,墨西哥,1106.88221056
2018,拉丁美洲,尼加拉瓜,3.27
2018,拉丁美洲,圣卢西亚,4.73
2018,拉丁美洲,圣文森特和格林纳丁斯,43.74
2018,拉丁美洲,苏里南,99.4
2018,拉丁美洲,特立尼达和多巴哥,637.09
2018,拉丁美洲,委内瑞拉,3501.23
2018,拉丁美洲,乌拉圭,271.2
2018,拉丁美洲,牙买加,1187.4
2018,拉丁美洲,英属安圭拉,22.93
2018,拉丁美洲,英属维尔京群岛,130496.7824782
2018,拉丁美洲,智利,613.7
2018,欧洲,阿尔巴尼亚,6.42
2018,欧洲,阿塞拜疆,9.18
2018,欧洲,爱尔兰,972.77
2018,欧洲,爱沙尼亚,56.84
2018,欧洲,奥地利,461.63
2018,欧洲,白俄罗斯,503.78
2018,欧洲,保加利亚,171.09
2018,欧洲,比利时,326.41
2018,欧洲,冰岛,14.73
2018,欧洲,波兰,523.73
2018,欧洲,波斯尼亚—黑塞哥维那,4.34
2018,欧洲,丹麦,246.53
2018,欧洲,德国,13688.6105482
2018,欧洲,俄罗斯,14208.21932726
2018,欧洲,法国,6598.79494147
2018,欧洲,芬兰,327.54
2018,欧洲,格鲁吉亚,639.7
2018,欧洲,荷兰,19428.99
2018,欧洲,黑山,62.86
2018,欧洲,捷克,279.23
2018,欧洲,克罗地亚,69.08
2018,欧洲,拉脱维亚,11.7
2018,欧洲,立陶宛,12.89
2018,欧洲,列支敦士登,4.34
2018,欧洲,卢森堡,15388.7
2018,欧洲,罗马尼亚,304.62
2018,欧洲,马耳他,230.49
2018,欧洲,马其顿,36.3
2018,欧洲,摩尔多瓦,3.87
2018,欧洲,挪威,1997.7
2018,欧洲,葡萄牙,105.93
2018,欧洲,瑞典,6896.81
2018,欧洲,瑞士,5000.37
2018,欧洲,塞尔维亚,271.41
2018,欧洲,斯洛伐克,99.29
2018,欧洲,斯洛文尼亚,40.09
2018,欧洲,乌克兰,90.48
2018,欧洲,西班牙,1060.14
2018,欧洲,希腊,242.47
2018,欧洲,匈牙利,320.69
2018,欧洲,亚美尼亚,49.61
2018,欧洲,意大利,2145.35
2018,欧洲,英国,19883.23021932
2018,亚洲,阿富汗,404.44
2018,亚洲,阿拉伯联合酋长国,6436.06
2018,亚洲,阿曼,150.68
2018,亚洲,澳门特别行政区 (中国),8865.78231686
2018,亚洲,巴基斯坦,4246.82
2018,亚洲,巴勒斯坦,0.04
2018,亚洲,巴林,71.96
2018,亚洲,朝鲜,566.01
2018,亚洲,东帝汶,166.68
2018,亚洲,菲律宾,830.02
2018,亚洲,哈萨克斯坦,7341.08
2018,亚洲,韩国,6710.1116983
2018,亚洲,吉尔吉斯,1393.08
2018,亚洲,柬埔寨,5973.68
2018,亚洲,卡塔尔,435.98
2018,亚洲,科威特,1091.84
2018,亚洲,老挝,8309.76
2018,亚洲,黎巴嫩,2.22
2018,亚洲,马尔代夫,74.77
2018,亚洲,马来西亚,8387.24
2018,亚洲,蒙古,3365.07
2018,亚洲,孟加拉国,870.23
2018,亚洲,缅甸,4680.06
2018,亚洲,尼泊尔,379.19
2018,亚洲,日本,3490.52481389
2018,亚洲,塞浦路斯,845.43
2018,亚洲,沙特阿拉伯,2594.56
2018,亚洲,斯里兰卡,468.93
2018,亚洲,塔吉克,1944.83
2018,亚洲,台湾省,1351.57
2018,亚洲,泰国,5946.6952512
2018,亚洲,土耳其,1733.68
2018,亚洲,土库曼,311.93
2018,亚洲,文莱,220.45
2018,亚洲,乌兹别克,3689.88
2018,亚洲,香港特别行政区 (中国),1100391.07709752
2018,亚洲,新加坡,50093.8296221
2018,亚洲,叙利亚,0.87
2018,亚洲,也门共和国,623
2018,亚洲,伊拉克,598.54
2018,亚洲,伊朗,3234.29
2018,亚洲,以色列,4619.98
2018,亚洲,印度,4662.797367
2018,亚洲,印度尼西亚,12811.28456624
2018,亚洲,约旦,141.98
2018,亚洲,越南,5605.43276923
2019,北美洲,百慕大群岛,8336.57
2019,北美洲,加拿大,14091.46857869
2019,北美洲,美国,77797.4951667
2019,大洋洲,澳大利亚,38068.38275147
2019,大洋洲,巴布亚新几内亚,1923.36
2019,大洋洲,斐济,195.47
2019,大洋洲,基里巴斯,18.35
2019,大洋洲,库克群岛,0.07
2019,大洋洲,马绍尔群岛共和国,96.82
2019,大洋洲,密克罗尼西亚联邦,15.06
2019,大洋洲,帕劳共和国,18.81
2019,大洋洲,萨摩亚,683.81
2019,大洋洲,所罗门群岛,0.1
2019,大洋洲,汤加,10.01
2019,大洋洲,瓦努阿图,122.47
2019,大洋洲,新西兰,2459.73202172
2019,非洲,阿尔及利亚,1775.3496
2019,非洲,埃及,1085.8
2019,非洲,埃塞俄比亚,2558.87
2019,非洲,安哥拉,2890.73
2019,非洲,贝宁,91.44
2019,非洲,博茨瓦纳,186.28
2019,非洲,布基纳法索,1.49
2019,非洲,布隆迪,8.2
2019,非洲,赤道几内亚,404.13
2019,非洲,多哥,101.16
2019,非洲,厄立特里亚,223.29
2019,非洲,佛得角,2.34
2019,非洲,冈比亚,13.9
2019,非洲,刚果,609.84
2019,非洲,吉布提,125.26
2019,非洲,几内亚,763.2557
2019,非洲,几内亚比绍,26.71
2019,非洲,加纳,1831.29
2019,非洲,加蓬,252.21
2019,非洲,津巴布韦,1771.48
2019,非洲,喀麦隆,303.9
2019,非洲,科摩罗,1.83
2019,非洲,科特迪瓦共和国,564.34
2019,非洲,肯尼亚,1624.23
2019,非洲,莱索托,5.93
2019,非洲,利比里亚,167.65
2019,非洲,利比亚,299.43
2019,非洲,卢旺达,167.51
2019,非洲,马达加斯加,272.9123
2019,非洲,马拉维,161.45
2019,非洲,马里,305
2019,非洲,毛里求斯,1291.68
2019,非洲,毛里塔尼亚,181.4
2019,非洲,民主刚果,5596.6
2019,非洲,摩洛哥,303.29
2019,非洲,莫桑比克,1146.75
2019,非洲,纳米比亚,363.59
2019,非洲,南非,6146.57066919
2019,非洲,南苏丹,26.88
2019,非洲,尼日尔,956.71
2019,非洲,尼日利亚,2194.0021
2019,非洲,塞拉利昂,165.32
2019,非洲,塞内加尔,234.24
2019,非洲,塞舌尔,414.05
2019,非洲,圣多美和普林西比,0.44
2019,非洲,苏丹,1203.0936
2019,非洲,坦桑尼亚,1335.54
2019,非洲,突尼斯,36.62
2019,非洲,乌干达,669.94
2019,非洲,赞比亚,2863.79
2019,非洲,乍得,648.52
2019,非洲,中非,13.98
2019,拉丁美洲,阿根廷,1808.41
2019,拉丁美洲,安提瓜和巴布达,5.44
2019,拉丁美洲,巴巴多斯,59.11
2019,拉丁美洲,巴哈马,162.02
2019,拉丁美洲,巴拿马,549.99
2019,拉丁美洲,巴西,4434.77925063
2019,拉丁美洲,玻利维亚,472.27
2019,拉丁美洲,多米尼加共和国,0.25
2019,拉丁美洲,多米尼克,3.15
2019,拉丁美洲,厄瓜多尔,647.72
2019,拉丁美洲,哥伦比亚,307.1
2019,拉丁美洲,哥斯达黎加,35.01
2019,拉丁美洲,格林纳达,27.12
2019,拉丁美洲,古巴,118
2019,拉丁美洲,圭亚那,193.44
2019,拉丁美洲,洪都拉斯,15.62
2019,拉丁美洲,开曼群岛,276145.05707485
2019,拉丁美洲,秘鲁,1398.94
2019,拉丁美洲,墨西哥,1161.07978795
2019,拉丁美洲,尼加拉瓜,6.17
2019,拉丁美洲,圣卢西亚,4.15
2019,拉丁美洲,圣文森特和格林纳丁斯,43.21
2019,拉丁美洲,苏里南,132.69
2019,拉丁美洲,特立尼达和多巴哥,660.46
2019,拉丁美洲,委内瑞拉,3431.3
2019,拉丁美洲,乌拉圭,229.37
2019,拉丁美洲,牙买加,921.65
2019,拉丁美洲,英属安圭拉,22.65
2019,拉丁美洲,英属维尔京群岛,141878.8351016
2019,拉丁美洲,智利,1171.89
2019,欧洲,阿尔巴尼亚,7.11
2019,欧洲,阿塞拜疆,7.8
2019,欧洲,爱尔兰,1074.01
2019,欧洲,爱沙尼亚,63.33
2019,欧洲,奥地利,492.18
2019,欧洲,白俄罗斯,651.8
2019,欧洲,保加利亚,156.81
2019,欧洲,比利时,470.95
2019,欧洲,冰岛,14.73
2019,欧洲,波兰,555.59
2019,欧洲,波斯尼亚—黑塞哥维那,16.7
2019,欧洲,丹麦,294.85
2019,欧洲,德国,14233.99467937
2019,欧洲,俄罗斯,12803.97086415
2019,欧洲,法国,5954.34017903
2019,欧洲,芬兰,340.38
2019,欧洲,格鲁吉亚,670.92
2019,欧洲,荷兰,23854.82
2019,欧洲,黑山,85.09
2019,欧洲,捷克,287.49
2019,欧洲,克罗地亚,98.4
2019,欧洲,拉脱维亚,11.63
2019,欧洲,立陶宛,9.81
2019,欧洲,列支敦士登,4.34
2019,欧洲,卢森堡,13902.21
2019,欧洲,罗马尼亚,428.27
2019,欧洲,马耳他,229.32
2019,欧洲,马其顿,21.09
2019,欧洲,摩尔多瓦,3.87
2019,欧洲,挪威,1246.93
2019,欧洲,葡萄牙,58.57
2019,欧洲,瑞典,8578.69
2019,欧洲,瑞士,5662.84
2019,欧洲,塞尔维亚,164.73
2019,欧洲,斯洛伐克,82.74
2019,欧洲,斯洛文尼亚,189.6
2019,欧洲,乌克兰,158.03
2019,欧洲,西班牙,1110.57
2019,欧洲,希腊,231.02
2019,欧洲,匈牙利,427.36
2019,欧洲,亚美尼亚,12.89
2019,欧洲,意大利,2570.17
2019,欧洲,英国,17143.89945203
2019,亚洲,阿富汗,418.94
2019,亚洲,阿拉伯联合酋长国,7635.67
2019,亚洲,阿曼,116.34
2019,亚洲,澳门特别行政区 (中国),9851.6841299
2019,亚洲,巴基斯坦,4797.98
2019,亚洲,巴林,70.74
2019,亚洲,朝鲜,462.28
2019,亚洲,东帝汶,80.85
2019,亚洲,菲律宾,664.09
2019,亚洲,哈萨克斯坦,7254.13
2019,亚洲,韩国,6673.40137456
2019,亚洲,吉尔吉斯,1550.03
2019,亚洲,柬埔寨,6463.7
2019,亚洲,卡塔尔,458.92
2019,亚洲,科威特,834.51
2019,亚洲,老挝,8249.59
2019,亚洲,黎巴嫩,2.22
2019,亚洲,马尔代夫,82.47
2019,亚洲,马来西亚,7923.69
2019,亚洲,蒙古,3430.54
2019,亚洲,孟加拉国,1248.3
2019,亚洲,缅甸,4134.45
2019,亚洲,尼泊尔,538.66
2019,亚洲,日本,4098.05230603
2019,亚洲,塞浦路斯,1061.47
2019,亚洲,沙特阿拉伯,2527.73
2019,亚洲,斯里兰卡,551.47
2019,亚洲,塔吉克,1946.08
2019,亚洲,台湾省,1254.4
2019,亚洲,泰国,7185.84777007
2019,亚洲,土耳其,1867.86
2019,亚洲,土库曼,226.56
2019,亚洲,文莱,426.96
2019,亚洲,乌兹别克,3246.21
2019,亚洲,香港特别行政区 (中国),1275355.17883809
2019,亚洲,新加坡,52636.55716304
2019,亚洲,叙利亚,13.57
2019,亚洲,也门共和国,544.19
2019,亚洲,伊拉克,1377.52
2019,亚洲,伊朗,3055.62
2019,亚洲,以色列,3775.02
2019,亚洲,印度,3610.09124725
2019,亚洲,印度尼西亚,15132.54604628
2019,亚洲,约旦,311.73
2019,亚洲,越南,7073.71031958
